word,emotion
100점,감동
감개무량,감동
감격,감동
감동,감동
감명,감동
감미롭,감동
감복,감동
감사,감동
감회,감동
감흥,감동
걸작,감동
경이롭,감동
고마,감동
고맙,감동
근사,감동
낭만적,감동
놀랍,감동
눈물,감동
대작,감동
두근,감동
따뜻,감동
따스,감동
만족,감동
명작,감동
뭉클,감동
미소,감동
뿌듯,감동
사랑,감동
설레,감동
아름,감동
애틋,감동
역대,감동
우아,감동
인생작,감동
절실,감동
짠하,감동
찡하,감동
최고,감동
콩닥,감동
함박웃음,감동
행복,감동
훌륭,감동
흐뭇,감동
흡족,감동
겁쟁이,공포
공포,공포
공포감,공포
긴박,공포
긴장,공포
깜짝,공포
ㄷㄷ,공포
덜덜,공포
두려,공포
두렵,공포
무서,공포
무섭,공포
무시무시,공포
불안,공포
불안정,공포
살벌,공포
새파래,공포
섬뜩,공포
소름끼,공포
스산,공포
아찔,공포
안절부절,공포
오싹,공포
와들와들,공포
움찔,공포
으스스,공포
으악,공포
을씨년,공포
잔인,공포
잔혹,공포
조마조마,공포
초조,공포
가관,분노
가소롭,분노
갈기갈기,분노
갑작,분노
개새끼,분노
개쌍년,분노
개자식,분노
거북,분노
격노,분노
격분,분노
격앙,분노
격양,분노
격해,분노
경박,분노
경악,분노
고통,분노
괘씸,분노
괴상,분노
괴작,분노
괴팍,분노
구역질,분노
구질구질,분노
굴욕감,분노
그년,분노
그놈,분노
그자식,분노
기분나쁘,분노
기집년,분노
꺼림칙,분노
꼴불견,분노
나쁘,분노
넌더리,분노
네년,분노
네놈,분노
노여워,분노
느글,분노
느끼,분노
니미,분노
달갑잖,분노
당할,분노
당했,분노
당황,분노
더럽,분노
똥,분노
망작,분노
망측,분노
멸시당,분노
모멸감,분노
모욕적,분노
못,분노
못미덥,분노
무시당,분노
미친개,분노
밉,분노
발칙,분노
버럭,분노
복수심,분노
부담,분노
분개,분노
분노,분노
분통터지,분노
분하,분노
불만,분노
불만족,분노
불유쾌,분노
비딱,분노
비아냥,분노
빌어먹을,분노
삐딱,분노
삐지다,분노
삐치,분노
속썩,분노
신경질적,분노
심술궂,분노
심통,분노
싸가지,분노
쌍년,분노
쌍놈,분노
쓰레기,분노
씨부랄,분노
씨부렁,분노
씩씩,분노
씹새끼,분노
아깝다,분노
아으,분노
아이씨,분노
암세포,분노
야박,분노
약오르,분노
얄밉,분노
어이없,분노
언짢,분노
역겹,분노
염병,분노
옘병,분노
우라질,분노
울화통,분노
웃음거리,분노
원망,분노
웬수,분노
으이구,분노
의심,분노
이새끼,분노
자괴감,분노
잡놈,분노
저년,분노
저놈,분노
제기랄,분노
증오,분노
지독,분노
지랄,분노
진노,분노
질투,분노
징그럽,분노
짜증,분노
짱나,분노
찜찜,분노
충격적,분노
치떨리,분노
치밀어오르,분노
치사,분노
치욕적,분노
코웃음치,분노
해괴,분노
흉측,분노
흥분,분노
가련,슬픔
가슴아파,슬픔
가슴아퍼,슬픔
가슴아프,슬픔
가슴앓이,슬픔
가엽,슬픔
가엾,슬픔
각박,슬픔
간절,슬픔
걱정,슬픔
고달프,슬픔
고독,슬픔
공허,슬픔
괴롭,슬픔
구슬프,슬픔
그리,슬픔
그립,슬픔
근심,슬픔
글썽글썽,슬픔
기구,슬픔
낙담,슬픔
낙망,슬픔
낙심,슬픔
난처,슬픔
눈물,슬픔
눈물겹,슬픔
뜨금,슬픔
망막,슬픔
망연,슬픔
망연자실,슬픔
먹먹,슬픔
뭉클,슬픔
미안,슬픔
복받치,슬픔
부끄럽,슬픔
불쌍,슬픔
불행,슬픔
비참,슬픔
비탄,슬픔
비통,슬픔
뼈저리,슬픔
사무치,슬픔
상실감,슬픔
서럽,슬픔
서운,슬픔
섭섭,슬픔
속상,슬픔
속앓이,슬픔
송구,슬픔
숙연,슬픔
슬퍼,슬픔
실망,슬픔
심각,슬픔
심란,슬픔
심려,슬픔
쓴웃음,슬픔
씁쓸,슬픔
아깝,슬픔
아련,슬픔
아쉽,슬픔
아야,슬픔
아이고,슬픔
아파,슬픔
아프,슬픔
아휴,슬픔
안쓰러,슬픔
안쓰럽,슬픔
안타까,슬픔
안타깝,슬픔
안타깝,슬픔
암담,슬픔
암울,슬픔
애끓,슬픔
애달프,슬픔
애도,슬픔
애석,슬픔
애잔,슬픔
애처로,슬픔
애처롭,슬픔
애통,슬픔
애틋,슬픔
야속,슬픔
외롭,슬픔
외톨이,슬픔
우울,슬픔
울먹,슬픔
울며불며,슬픔
울부짖,슬픔
울분,슬픔
울상,슬픔
울었,슬픔
울적,슬픔
울컥,슬픔
원통,슬픔
유감,슬픔
으앙,슬픔
음울,슬픔
자책,슬픔
자포자기,슬픔
적적,슬픔
절규,슬픔
절망,슬픔
절박,슬픔
절실,슬픔
절절,슬픔
절절매,슬픔
좌절,슬픔
죄송,슬픔
죄책감,슬픔
주눅들,슬픔
지끈,슬픔
짠하,슬픔
찡하,슬픔
착잡,슬픔
참담,슬픔
참회,슬픔
창피,슬픔
챙피,슬픔
처량,슬픔
처절,슬픔
처참,슬픔
청승맞,슬픔
초라,슬픔
측은,슬픔
침울,슬픔
침통,슬픔
탄복,슬픔
탄식,슬픔
통탄,슬픔
한숨짓,슬픔
한탄,슬픔
허무,슬픔
허전,슬픔
허탈,슬픔
후회,슬픔
흑흑,슬픔
경쾌,유쾌
궁금,유쾌
근사,유쾌
기묘,유쾌
기분좋,유쾌
기뻐,유쾌
기쁘,유쾌
기쁨,유쾌
기상천외,유쾌
까무러치,유쾌
꿀잼,유쾌
달갑,유쾌
반갑,유쾌
방그레,유쾌
방글방글,유쾌
방긋,유쾌
보기좋,유쾌
부러워,유쾌
빙그레,유쾌
뿌듯,유쾌
상쾌,유쾌
상큼,유쾌
섹시,유쾌
속시원,유쾌
신명,유쾌
신바람,유쾌
신비롭,유쾌
싱글벙글,유쾌
쌩끗,유쾌
씰룩,유쾌
아하하,유쾌
예뻐,유쾌
예쁘,유쾌
웃기,유쾌
웃느라,유쾌
웃어넘기,유쾌
유쾌,유쾌
으쓱,유쾌
이쁘,유쾌
자부,유쾌
재미있,유쾌
재밋,유쾌
재밌,유쾌
잼나,유쾌
잼난,유쾌
존잼,유쾌
좋네,유쾌
좋아,유쾌
즐겁,유쾌
친근,유쾌
친숙,유쾌
쾌적,유쾌
통쾌,유쾌
편안,유쾌
하하,유쾌
함박웃음,유쾌
핵잼,유쾌
행복,유쾌
후련,유쾌
후후,유쾌
흥겹,유쾌
흥미롭,유쾌
희희낙락,유쾌
히죽,유쾌
히히,유쾌
갑갑,지루함
고리타분,지루함
관절,지루함
괴작,지루함
귀찮,지루함
기운없,지루함
낭패,지루함
노잼,지루함
답답,지루함
따분,지루함
망작,지루함
무료,지루함
별로,지루함
서먹,지루함
수면,지루함
신통찮,지루함
싫증,지루함
심드렁,지루함
심심,지루함
암 걸,지루함
암걸,지루함
암세포,지루함
어색,지루함
재미없,지루함
지겹,지루함
지긋지긋,지루함
지루하,지루함
지루한,지루함
지루함,지루함
최악,지루함
클레,지루함
한숨,지루함
