movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companyCd,companyNm
20090834,아바타,Avatar,2009,20091217,장편,개봉,미국,"SF,액션,어드벤처",미국,SF,제임스 카메론,20101507,이십세기폭스필름코퍼레이션
19980074,타이타닉,Titanic,1997,19980220,장편,개봉,미국,"드라마,멜로/로맨스,액션",미국,드라마,제임스 카메론,20104469,파라마운트 픽쳐스
20129370,명량,Roaring Currents,2013,20140730,장편,개봉,한국,"사극,액션",한국,사극,김한민,20123063,(주)빅스톤픽쳐스
20124079,"광해, 왕이 된 남자",Masquerade,2012,20120913,장편,개봉,한국,"사극,드라마",한국,사극,추창민,20100540,리얼라이즈픽쳐스(주)
20070061,트랜스포머,Transformers,2007,20070628,장편,개봉,미국,"SF,액션,어드벤처",미국,SF,마이클 베이,20100694,드림웍스픽쳐스
20184889,어벤져스: 엔드게임,Avengers: Endgame,2018,20190424,장편,개봉,미국,"액션,SF",미국,액션,안소니 루소,,
20183867,알라딘,Aladdin,2018,20190523,장편,개봉,미국,"어드벤처,가족,판타지",미국,어드벤처,가이 리치,,
20127593,7번방의 선물,Miracle in Cell No.7,2012,20130123,장편,개봉,한국,"코미디,드라마",한국,코미디,이환경,20100411,(주)화인웍스
20136803,겨울왕국,Frozen,2013,20140116,장편,개봉,미국,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",미국,애니메이션,크리스 벅,,
20135428,어바웃 타임,ABOUT TIME,2013,20131205,장편,개봉,영국,"멜로/로맨스,코미디",영국,멜로/로맨스,리차드 커티스,,
20040734,노트북,The Notebook,2004,20041126,장편,개봉,미국,멜로/로맨스,미국,멜로/로맨스,닉 카사베츠,20104412,뉴라인 시네마
20060151,괴물,The Host,2006,20060727,장편,개봉,한국,"SF,가족,드라마",한국,SF,봉준호,,
20167904,라라랜드,LA LA LAND,2016,20161207,장편,개봉,미국,"드라마,뮤지컬,멜로/로맨스",미국,드라마,데이미언 셔젤,,
20030371,태극기 휘날리며,TaeGukGi: Brotherhood Of War,2004,20040205,장편,개봉,한국,"전쟁,드라마",한국,전쟁,강제규,20100546,강제규필름
20112821,프렌즈 위드 베네핏,Friends With Benefits,2011,20111027,장편,개봉,미국,"코미디,멜로/로맨스",미국,코미디,윌 글럭,,
20090074,해운대,Haeundae,2009,20090722,장편,개봉,한국,"액션,드라마,어드벤처",한국,액션,윤제균,,
20149120,인터스텔라,Interstellar,2014,20141106,장편,개봉,"미국,영국",SF,미국,SF,크리스토퍼 놀란,,
20183782,기생충,PARASITE,2019,20190530,장편,개봉,한국,드라마,한국,드라마,봉준호,20100558,(주)바른손이앤에이
20134803,변호인,The Attorney,2013,20131218,장편,개봉,한국,드라마,한국,드라마,양우석,,
20156564,부산행,TRAIN TO BUSAN,2016,20160720,장편,개봉,한국,"액션,스릴러",한국,액션,연상호,20140808,(주)영화사레드피터
